Material Name, Length, Width, Thickness,Max Displacement,Natural Frequency,Max Strain
Brass,0.0005,0.0005,0.0026293877551020407,2.7791028043395708e-9,119984.56606097693,2.192201665170063e-5
Digital ABS,0.0005,0.0005,0.0027281632653061226,9.339527412854773e-8,20731.636576108333,0.0007643926680920976
Rigid Opeque,0.0005,0.0005,0.0027281632653061226,1.2141385636711203e-7,18182.84811243473,0.000993710468519727
Brass,0.0005,0.0005,0.0027281632653061226,2.4880427830744984e-9,126799.47715499114,2.0363360769881574e-5
Digital ABS,0.0005,0.0005,0.002826938775510204,8.394345034390279e-8,21867.463233553273,0.0007119089841818824
Rigid Opeque,0.0005,0.0005,0.002826938775510204,1.0912648544707363e-7,19179.033990889522,0.0009254816794364471
Brass,0.0005,0.0005,0.002826938775510204,2.2362486929690306e-9,133738.06424811593,1.8965214425514497e-5
Digital ABS,0.0005,0.0005,0.002925714285714286,7.572518460864117e-8,23023.29181834413,0.0006646507631935589
Rigid Opeque,0.0005,0.0005,0.002925714285714286,9.84427399912335e-8,20192.762720124632,0.0008640459921516266
Brass,0.0005,0.0005,0.002925714285714286,2.01731614903295e-9,140798.10271974452,1.770627202808349e-5
Digital ABS,0.0005,0.0005,0.0030244897959183672,6.854562800700128e-8,24198.780725407785,0.0006219466573859749
Rigid Opeque,0.0005,0.0005,0.0030244897959183672,8.910931640910167e-8,21223.73469267127,0.0008085306546017674
Brass,0.0005,0.0005,0.0030244897959183672,1.8260544565606735e-9,147977.48090883336,1.656864921197705e-5
Digital ABS,0.0005,0.0005,0.003123265306122449,6.224572827665042e-8,25393.605215922173,0.0005832297707423619
Rigid Opeque,0.0005,0.0005,0.003123265306122449,8.091944675964553e-8,22271.66509374135,0.0007581987019650705
Brass,0.0005,0.0005,0.003123265306122449,1.6582265275891774e-9,155274.19082063247,1.5537244149933537e-5
Digital ABS,0.0005,0.0005,0.0032220408163265305,5.669478639873075e-8,26607.45607238576,0.0005480187475488742
Rigid Opeque,0.0005,0.0005,0.0032220408163265305,7.370322231834998e-8,23336.282721645446,0.0007124243718135364
Brass,0.0005,0.0005,0.0032220408163265305,1.5103505920036662e-9,162686.31987072498,1.4599233763196251e-5
Digital ABS,0.0005,0.0005,0.0033208163265306123,5.178473078263045e-8,27840.038399234476,0.0005159027383438546
Rigid Opeque,0.0005,0.0005,0.0033208163265306123,6.732015001741959e-8,24417.32893586422,0.0006706735598470111
Brass,0.0005,0.0005,0.0033208163265306123,1.3795476645139434e-9,170212.0435220479,1.3743673222635239e-5
Digital ABS,0.0005,0.0005,0.0034195918367346937,4.742567571832003e-8,29091.070549357504,0.0004865293606139819
Rigid Opeque,0.0005,0.0005,0.0034195918367346937,6.165337843381605e-8,25514.556715540544,0.0006324881687981765
Brass,0.0005,0.0005,0.0034195918367346937,1.2634232238878455e-9,177849.6186943809,1.2961175228243716e-5
Digital ABS,0.0005,0.0005,0.0035183673469387756,4.354244891227898e-8,30360.28316001214,0.00045959499137613653
Rigid Opeque,0.0005,0.0005,0.0035183673469387756,5.6605183585962674e-8,26627.729813920803,0.0005974734887889774
Brass,0.0005,0.0005,0.0035183673469387756,1.1599747081005524e-9,185597.37784509407,1.224365140876746e-5
Digital ABS,0.0005,0.0005,0.003617142857142857,4.007185657874119e-8,31647.41828420574,0.0004348368893887401
Rigid Opeque,0.0005,0.0005,0.003617142857142857,5.2093413552363544e-8,27756.621996526545,0.0005652879562053621
Brass,0.0005,0.0005,0.003617142857142857,1.0675186576030188e-9,193453.72363570018,1.1584102461646472e-5
Digital ABS,0.0005,0.0005,0.003715918367346939,3.696051442365597e-8,32952.22860572277,0.00041202676324036394
Rigid Opeque,0.0005,0.0005,0.003715918367346939,4.804866875075276e-8,28901.01635268764,0.0005356347922124731
Brass,0.0005,0.0005,0.003715918367346939,9.846329337032704e-10,201417.12411168963,1.097644681032805e-5
Digital ABS,0.0005,0.0005,0.00381469387755102,3.4163116128102567e-8,34274.47672771597,0.00039096548979581215
Rigid Opeque,0.0005,0.0005,0.00381469387755102,4.441205096653334e-8,30060.70467159544,0.0005082551367345559
Brass,0.0005,0.0005,0.00381469387755102,9.101105917274038e-10,209486.1083338092,1.041537990647059e-5
Digital ABS,0.0005,0.0005,0.003913469387755102,3.164104250623454e-8,35613.93452622764,0.0003714787537344205
Rigid Opeque,0.0005,0.0005,0.003913469387755102,4.11333552581049e-8,31235.486875303435,0.00048292237985474667
Brass,0.0005,0.0005,0.003913469387755102,8.429228295916503e-10,217659.2624078174,9.896258069540501e-6
Digital ABS,0.0005,0.0005,0.0040122448979591835,2.9361237748895687e-8,36970.382561213744,0.00035341342906731994
Rigid Opeque,0.0005,0.0005,0.0040122448979591835,3.8169609073564396e-8,32425.170502161258,0.0004594374577875159
Brass,0.0005,0.0005,0.0040122448979591835,7.821890514139306e-10,225935.2258671517,9.415002092325228e-6
Digital ABS,0.0005,0.0005,0.004111020408163265,2.729529641059095e-8,38343.609538656885,0.0003366345617724148
Rigid Opeque,0.0005,0.0005,0.004111020408163265,3.548388533376823e-8,33629.57023505652,0.00043762493030413924
Brass,0.0005,0.0005,0.004111020408163265,7.271525452326003e-10,234312.68836915685,8.968016859897245e-6
Digital ABS,0.0005,0.0005,0.004209795918367347,2.5418717700075904e-8,39733.41181820717,0.0003210228420717341
Rigid Opeque,0.0005,0.0005,0.004209795918367347,3.3044333010098676e-8,34848.50746958728,0.00041732969469325434
Brass,0.0005,0.0005,0.004209795918367347,6.771606176184287e-10,242790.38667075674,8.552124012387518e-6
Digital ABS,0.0005,0.0005,0.004308571428571429,2.3710293360228093e-8,41139.59296151264,0.0003064724776047768
Rigid Opeque,0.0005,0.0005,0.004308571428571429,3.082338136829652e-8,36081.80991792167,0.00039841422088620986
Brass,0.0005,0.0005,0.004308571428571429,6.316482870457268e-10,251367.10185388438,8.16450528741391e-6
Digital ABS,0.0005,0.0005,0.00440734693877551,2.215160280581477e-8,42561.96331701484,0.00029288939644553613
Rigid Opeque,0.0005,0.0005,0.00440734693877551,2.8797083647559203e-8,37329.311244639466,0.00038075621537919695
Brass,0.0005,0.0005,0.00440734693877551,5.901248345667703e-10,260041.65677474948,7.802654649369776e-6
Digital ABS,0.0005,0.0005,0.004506122448979592,2.0726594830530456e-8,44000.339637509336,0.00028018972277027296
Rigid Opeque,0.0005,0.0005,0.004506122448979592,2.6944573279689595e-8,38590.8507313105,0.0003642466396013549
Brass,0.0005,0.0005,0.004506122448979592,5.52162660654039e-10,268812.91371424013,7.464337681984395e-6
Digital ABS,0.0005,0.0005,0.004604897959183674,1.942123953528469e-8,45454.54472721944,0.0002682984789025492
Rigid Opeque,0.0005,0.0005,0.004604897959183674,2.5247611395870096e-8,39866.272966957855,0.000348788022573314
Brass,0.0005,0.0005,0.004604897959183674,5.173880127064828e-10,277679.7722095052,7.1475570114545365e-6
Digital ABS,0.0005,0.0005,0.0047036734693877555,1.8223237489224773e-8,46924.40711551782,0.00025714847611325674
Rigid Opeque,0.0005,0.0005,0.0047036734693877555,2.3690208735992208e-8,41155.42756189273,0.0003342930189472337
Brass,0.0005,0.0005,0.0047036734693877555,4.854732372116353e-10,286641.1670491347,6.850522757910472e-6
Digital ABS,0.0005,0.0005,0.004802448979591836,1.7121775750412422e-8,48409.76075476324,0.00024667936344410513
